28.05.2015 08:12:52.15264 (0.5580855)Log "Roblox"
08:13:05.28264 (13.5287774)          		Configuration.AreArbitersThrottled: false
08:13:05.28264 (13.5287774)          		Configuration.BudgetEnforced: false
08:13:05.28264 (13.5287774)          		Data.ClassName: TaskScheduler
08:13:05.28264 (13.5287774)          		Configuration.Concurrency: Logical
08:13:05.28264 (13.5287774)          		Data.DataCost: 4
08:13:05.28264 (13.5287774)          		Data.Name: Task Scheduler
08:13:05.28264 (13.5287774)          		Diagnostics.NumRunningJobs: 0
08:13:05.28264 (13.5287774)          		Diagnostics.NumSleepingJobs: 0
08:13:05.28264 (13.5287774)          		Diagnostics.NumWaitingJobs: 0
08:13:05.28264 (13.5287774)          		Configuration.PriorityMethod: AccumulatedError
08:13:05.28264 (13.5287774)          		Data.RobloxLocked: false
08:13:05.28264 (13.5287774)          		Diagnostics.SchedulerDutyCycle: 0.0021199123716131116
08:13:05.28264 (13.5287774)          		Diagnostics.SchedulerRate: 2064.9262717559977
08:13:05.28264 (13.5287774)          		Configuration.SleepAdjustMethod: AverageInterval
08:13:05.28264 (13.5297776)          		Diagnostics.ThreadAffinity: 1
08:13:05.28264 (13.5297776)          		Configuration.ThreadPoolConfig: Auto
08:13:05.28264 (13.5297776)          		Diagnostics.ThreadPoolSize: 2
08:13:05.28264 (13.5297776)          		Configuration.ThrottledJobSleepTime: 0.01
08:13:05.28264 (13.5297776)          		Behavior.archivable: true
08:13:05.28264 (13.5297776)          		Data.className: TaskScheduler
08:13:05.28264 (13.5297776)          	Rendering
08:13:05.28264 (13.5297776)          		Quality.AASamples: None
08:13:05.28264 (13.5297776)          		Quality.AluminumQuality: Automatic
08:13:05.28264 (13.5297776)          		General.AlwaysDrawConnectors: false
08:13:05.28264 (13.5297776)          		Quality.Antialiasing: Off
08:13:05.28264 (13.5297776)          		Behavior.Archivable: true
08:13:05.28264 (13.5297776)          		Debug.AutoFRMLevel: 1
08:13:05.28264 (13.5297776)          		Performance.BatchSize: 20
08:13:05.28264 (13.5297776)          		Quality.Bevels: Automatic
08:13:05.28264 (13.5297776)          		Data.ClassName: RenderSettings
08:13:05.28264 (13.5297776)          		Quality.CompoundMaterialQuality: Automatic
08:13:05.28264 (13.5307777)          		Quality.CorrodedMetalQuality: Automatic
08:13:05.28264 (13.5307777)          		Data.DataCost: 4
08:13:05.28264 (13.5307777)          		Debug.DebugCullBlockCount: -1
08:13:05.28264 (13.5307777)          		Debug.DebugDisableDebriService: false
08:13:05.28264 (13.5307777)          		Debug.DebugFRMCullHumanoids: false
08:13:05.28264 (13.5307777)          		Debug.DebugLogFRMLogVariables: false
08:13:05.28264 (13.5307777)          		Quality.DiamondPlateQuality: Automatic
08:13:05.28264 (13.5307777)          		Performance.EagerBulkExecution: false
08:13:05.28264 (13.5307777)          		Debug.EnableFRM: false
08:13:05.28264 (13.5307777)          		General.FrameRateManager: Automatic
08:13:05.28264 (13.5307777)          		Quality.GrassQuality: Automatic
08:13:05.28264 (13.5307777)          		Quality.IceQuality: Automatic
08:13:05.28264 (13.5307777)          		Debug.IsAggregationShown: false
08:13:05.28264 (13.5307777)          		Performance.IsSynchronizedWithPhysics: false
08:13:05.28264 (13.5317779)          		Data.Name: Rendering
08:13:05.28264 (13.5317779)          		Quality.PlasticQuality: Automatic
08:13:05.28264 (13.5317779)          		Performance.QualityLevel: Automatic
08:13:05.28264 (13.5317779)          		Screen.Resolution: Automatic
08:13:05.28264 (13.5317779)          		Data.RobloxLocked: false
08:13:05.28264 (13.5317779)          		Debug.Shadow: Automatic
08:13:05.28264 (13.5317779)          		Debug.ShowBoundingBoxes: false
08:13:05.28264 (13.5317779)          		Quality.SlateQuality: Automatic
08:13:05.28264 (13.5317779)          		Debug.TextureCompositingEnabled: true
08:13:05.28264 (13.5317779)          		Quality.TrussDetail: Automatic
08:13:05.28264 (13.5317779)          		Performance.UsesPaintMessage: true
08:13:05.28264 (13.5317779)          		Quality.WoodQuality: Automatic
08:13:05.28264 (13.5317779)          		Behavior.archivable: true
08:13:05.28264 (13.5317779)          		Data.className: RenderSettings
08:13:05.28264 (13.5317779)          		General.graphicsMode: Automatic
08:13:05.28264 (13.5327780)          		Quality.profileName: profiled5
08:13:05.28264 (13.5327780)          	Network
08:13:05.28264 (13.5327780)          		Behavior.Archivable: true
08:13:05.28264 (13.5327780)          		Diagnostics.ArePhysicsRejectionsReported: false
08:13:05.28264 (13.5327780)          		Data.ClassName: NetworkSettings
