27.05.2015 16:40:33.2024 (557.5723296)Log "Roblox TaskScheduler Thread 1"
16:40:33.2024 (557.5733271) Error:   Workspace.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:33.26120 (3137.2216296)          Stack Begin
17:23:33.26120 (3137.2216296)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:33.26120 (3137.2216296)          Stack End
17:23:44.37120 (3148.5003762) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:44.37120 (3148.5003762)          Stack Begin
17:23:44.37120 (3148.5013763)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:44.37120 (3148.5013763)          Stack End
17:23:44.37120 (3148.5013763) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:44.37120 (3148.5013763)          Stack Begin
17:23:44.37120 (3148.5013763)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:44.37120 (3148.5013763)          Stack End
17:23:45.38120 (3149.2589207) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:45.38120 (3149.2589207)          Stack Begin
17:23:45.38120 (3149.2589207)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:45.38120 (3149.2589207)          Stack End
17:23:49.42120 (3153.6187369) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:49.42120 (3153.6187369)          Stack Begin
17:23:49.42120 (3153.6187369)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:49.42120 (3153.6187369)          Stack End
17:23:55.48120 (3159.2846250) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:55.48120 (3159.2856250)          Stack Begin
17:23:55.48120 (3159.2856250)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:55.48120 (3159.2866251)          Stack End
17:23:57.50120 (3160.8002254) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
17:23:57.50120 (3160.8012254)          Stack Begin
17:23:57.50120 (3160.8012254)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
17:23:57.50120 (3160.8012254)          Stack End
18:23:15.3640 (6719.1160912) Error:   exception while signalling: The Parent property of Workspace is locked, current parent: dkxe's Place, new parent Player
18:23:20.8640 (6723.7732019) Error:   exception while signalling: The Parent property of Workspace is locked, current parent: dkxe's Place, new parent Player
19:54:35.44152 (12199.0157910)          Boop recieved from zarm
19:54:36.45152 (12199.5058238)          Boop recieved from zarm
19:54:36.45152 (12199.5148252)          Boop recieved from zarm
19:54:45.54152 (12209.0243304)          Bang recieved from zarm
19:54:45.54152 (12209.1964619)          Boop recieved from zarm
19:54:46.55152 (12209.5363681)          Bang recieved from zarm
19:54:46.55152 (12209.8423924)          Boop recieved from zarm
19:54:47.56152 (12210.6019445)          Boop recieved from zarm
19:54:47.56152 (12210.9099553)          Boop recieved from zarm
19:54:47.56152 (12210.9949620)          Boop recieved from zarm
19:54:47.56152 (12211.1129562)          Boop recieved from zarm
19:54:47.56152 (12211.1469550)          Boop recieved from zarm
19:54:47.56152 (12211.2349607)          Boop recieved from zarm
19:54:48.57152 (12211.3209618)          Boop recieved from zarm
19:54:55.64152 (12219.0701280)          Bang recieved from zarm
19:54:55.64152 (12219.2421394)          Bang recieved from zarm
19:54:56.65152 (12219.2471392) Error:   Torso is not a valid member of Workspace
19:54:56.65152 (12219.2601388)          Script 'Workspace.Radioactive Zombie.zarm.My First Kill Script', Line 6
19:54:56.65152 (12219.2681385)          Stack End
19:54:57.616 (12220.2962185) Error:   Workspace.Radioactive Zombie.Respawn:7: attempt to index field 'Parent' (a nil value)
19:54:57.616 (12220.3042195)          Stack Begin
19:54:57.616 (12220.3111833)          Script 'Workspace.Radioactive Zombie.Respawn', Line 7
19:54:57.616 (12220.3181818)          Stack End
19:55:00.3616 (12224.0432514)          Boop recieved from zarm
19:55:00.3616 (12224.0722405)          Boop recieved from zarm
19:55:00.3616 (12224.1223036)          Boop recieved from zarm
19:55:01.4616 (12224.3292690)          Boop recieved from zarm
19:55:01.4616 (12224.3992682)          Boop recieved from zarm
19:55:01.4616 (12224.5562849)          Boop recieved from zarm
19:55:01.4616 (12224.5572849)          Boop recieved from zarm
19:55:01.4616 (12224.9783230)          Boop recieved from zarm
19:55:01.4616 (12224.9963255)          Boop recieved from zarm
19:55:02.5616 (12226.0703711)          Boop recieved from zarm
19:55:03.6616 (12226.4343529)          Boop recieved from zarm
19:55:03.6616 (12226.7293748)          Boop recieved from zarm
19:55:03.6616 (12227.1214124)          Boop recieved from zarm
19:55:03.6616 (12227.1244132)          Boop recieved from zarm
19:55:05.8616 (12228.8309825)          Boop recieved from zarm
19:55:05.8616 (12229.0659932)          Boop recieved from zarm
19:55:06.9616 (12229.5040530)          Boop recieved from zarm
19:55:07.10616 (12230.2805105)          Boop recieved from zarm
19:55:07.10616 (12230.4355093)          Boop recieved from zarm
19:55:07.10616 (12230.5035100)          Boop recieved from zarm
19:55:07.10616 (12230.7838063)          Boop recieved from zarm
19:55:07.10616 (12230.8419870)          Boop recieved from zarm
19:55:07.10616 (12230.9370339)          Boop recieved from zarm
19:55:07.10616 (12230.9430345)          Boop recieved from zarm
19:55:08.11616 (12232.1795380)          Boop recieved from zarm
19:55:09.12616 (12232.9956174)          Boop recieved from zarm
19:55:10.13616 (12233.6961599)          Boop recieved from zarm
19:55:11.14616 (12234.3336380)          Bang recieved from zarm
19:55:11.14616 (12234.3536407)          Boop recieved from zarm
19:55:11.14616 (12234.4326335)          Bang recieved from zarm
19:55:12.15616 (12235.4366764) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
19:55:12.15616 (12235.4366764)          Stack Begin
19:55:12.15616 (12235.4376764)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
19:55:12.15616 (12235.4376764)          Stack End
19:55:12.15616 (12235.4546749) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
19:55:12.15616 (12235.4546749)          Stack Begin
19:55:12.15616 (12235.4546749)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
19:55:12.15616 (12235.4546749)          Stack End
19:55:12.15616 (12235.4556748) Error:   Workspace.Radioactive Zombie.Respawn:7: attempt to index field 'Parent' (a nil value)
19:55:12.15616 (12235.4556748)          Stack Begin
19:55:12.15616 (12235.4556748)          Script 'Workspace.Radioactive Zombie.Respawn', Line 7
19:55:12.15616 (12235.4556748)          Stack End
19:55:12.15616 (12235.4706734) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
19:55:12.15616 (12235.4716734)          Stack Begin
19:55:12.15616 (12235.4716734)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
19:55:12.15616 (12235.4716734)          Stack End
19:55:13.16616 (12237.1697213)          Boop recieved from zarm
19:55:14.17616 (12237.3777407)          Boop recieved from zarm
19:55:14.17616 (12237.4997399)          Boop recieved from zarm
19:55:14.17616 (12237.6207451)          Boop recieved from zarm
19:55:14.17616 (12238.1418997)          Boop recieved from zarm
19:55:15.18616 (12238.2447379)          Boop recieved from zarm
19:55:15.18616 (12238.5107706)          Boop recieved from zarm
19:55:15.18616 (12238.5787491)          Boop recieved from zarm
19:55:15.18616 (12238.8668099)          Boop recieved from zarm
19:55:15.18616 (12239.0722327)          Boop recieved from zarm
19:55:16.19616 (12239.6416089)          Boop recieved from zarm
19:55:16.19616 (12239.7951475)          Boop recieved from zarm
19:55:16.19616 (12240.0143536)          Boop recieved from zarm
19:55:17.20616 (12240.4919387)          Boop recieved from zarm
19:55:17.20616 (12240.9804049)          Boop recieved from zarm
19:55:19.22616 (12242.9084821)          Boop recieved from zarm
19:55:19.22616 (12243.0095019)          Boop recieved from zarm
19:55:19.22616 (12243.0955060)          Boop recieved from zarm
19:55:20.23616 (12244.0450203)          Boop recieved from zarm
19:55:20.23616 (12244.0800207)          Boop recieved from zarm
19:55:24.27616 (12247.2890839)          Bang recieved from zarm
19:55:24.27616 (12247.2990824)          Boop recieved from zarm
19:55:24.27616 (12247.3820855)          Bang recieved from zarm
19:55:24.27616 (12247.5181255)          Bang recieved from zarm
19:56:31.29080 (12314.7754832)          Boop recieved from zarm
19:56:31.29080 (12314.9060326)          Boop recieved from zarm
19:56:31.29080 (12314.9070326)          Boop recieved from zarm
19:56:31.29080 (12314.9070326)          Boop recieved from zarm
19:56:31.29080 (12315.0680443)          Boop recieved from zarm
19:56:31.29080 (12315.0940462)          Boop recieved from zarm
19:56:31.29080 (12315.0940462)          Boop recieved from zarm
19:56:31.29080 (12315.0950463)          Boop recieved from zarm
19:56:41.39080 (12324.7868929)          Bang recieved from zarm
19:56:41.39080 (12325.0828974)          Bang recieved from zarm
19:56:58.56080 (12341.9762712)          Boop recieved from zarm
19:57:08.544 (12351.9794569)          Bang recieved from zarm
20:02:00.30400 (12643.6633154)          Boop recieved from Left Arm
20:02:00.30400 (12643.6722708)          Boop recieved from Left Arm
20:02:00.30400 (12643.6792361)          Boop recieved from Left Arm
20:02:01.31400 (12644.7698303)          Boop recieved from Left Arm
20:02:02.32400 (12646.0803591)          Boop recieved from Left Arm
20:02:02.32400 (12646.0803591)          Boop recieved from Left Arm
20:02:03.33400 (12646.2522504)          Boop recieved from Left Arm
20:02:03.33400 (12646.2522504)          Boop recieved from Left Arm
20:02:03.33400 (12646.3733730)          Boop recieved from Left Arm
20:02:03.33400 (12646.3733730)          Boop recieved from Left Arm
20:02:10.40400 (12653.7077257)          Bang recieved from Torso
20:02:12.42400 (12656.0946176)          Bang recieved from Torso
20:02:12.42400 (12656.0956176)          Bang recieved from Head
20:02:12.42400 (12656.1296174)          Bang recieved from Head
20:02:13.43400 (12656.2576315)          Bang recieved from Head
20:02:13.43400 (12656.2586315)          Bang recieved from Right Arm
20:02:13.43400 (12656.6946215)          Bang recieved from Head
20:02:14.44400 (12657.8696750) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:02:14.44400 (12657.8756756)          Stack Begin
20:02:14.44400 (12657.8766757)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:02:14.44400 (12657.8766757)          Stack End
20:02:14.44400 (12657.8906665) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:02:14.44400 (12657.8906665)          Stack Begin
20:02:14.44400 (12657.8906665)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:02:14.44400 (12657.8906665)          Stack End
20:02:20.50400 (12663.7131522)          Boop recieved from Right Arm
20:02:20.50400 (12663.9768021)          Boop recieved from Right Arm
20:02:20.50400 (12664.0012142)          Boop recieved from Right Arm
20:02:27.57400 (12670.5248906)          Boop recieved from Right Arm
20:02:27.57400 (12670.5298906)          Boop recieved from Right Arm
20:02:27.57400 (12670.5738904)          Boop recieved from Right Arm
20:02:27.57400 (12670.5948929)          Boop recieved from Right Arm
20:02:27.57400 (12670.6968992)          Boop recieved from Right Arm
20:02:27.57400 (12670.8349034)          Boop recieved from Right Arm
20:02:27.57400 (12671.0869021)          Boop recieved from Left Arm
20:02:28.58400 (12671.3929563)          Boop recieved from Left Arm
20:02:28.58400 (12671.5129380)          Boop recieved from Left Arm
20:02:28.58400 (12671.7319091)          Boop recieved from Left Arm
20:02:28.58400 (12671.9029110)          Boop recieved from Left Arm
20:02:28.58400 (12672.0479816)          Boop recieved from Left Arm
20:02:29.59400 (12672.2289843)          Boop recieved from Left Arm
20:02:30.60400 (12673.6739817)          Boop recieved from Right Arm
20:02:30.60400 (12673.6919953)          Bang recieved from Left Arm
20:02:30.60400 (12674.1380200)          Boop recieved from Right Arm
20:02:31.61400 (12674.7810620)          Boop recieved from Right Arm
20:02:31.61400 (12675.0315681) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:02:31.61400 (12675.0395685)          Stack Begin
20:02:31.61400 (12675.0455688)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:02:31.61400 (12675.0515691)          Stack End
20:02:32.62400 (12675.5746108)          Boop recieved from Right Arm
20:02:32.62400 (12675.6826097)          Boop recieved from Right Arm
20:02:32.62400 (12675.7376136)          Boop recieved from Right Arm
20:02:32.62400 (12675.7896198)          Boop recieved from Right Arm
20:02:32.62400 (12675.8686272)          Boop recieved from Right Arm
20:02:37.1864 (12680.5424008)          Bang recieved from Head
