27.05.2015 16:31:18.36848 (2.1756951)Log "RobloxStudio"
16:31:18.36848 (2.1756951)          CrashReporter Start
17:18:02.22800 (2805.8947876)          > game.StarterPack["Energy Sword"].Humanoid.Torso = game.StarterPack["Energy Sword"].Handle
17:18:33.53800 (2837.5028589)          		RobloxView::RobloxView - start
17:18:33.53800 (2837.5028589)          			UserInput
17:18:33.53800 (2837.7155029)          			Marshaller
17:18:33.53800 (2837.7164981)          			ProfilingSection
17:18:33.53800 (2837.7164981)          			BindToWorkspace
17:18:34.54800 (2837.8908952)          			RenderRequestJob
17:18:34.54800 (2837.8908952)          			RenderJob
17:18:34.54800 (2837.8908952)          			WrapMouseJob
17:18:34.54800 (2837.8908952)          			ConfigureStats
17:18:34.54800 (2837.8908952)          		RobloxView::RobloxView - end
17:19:44.59264 (2908.3837445)          Auto-Saving...
17:19:46.61264 (2909.8279516)          		RobloxView::RobloxView - start
17:19:46.61264 (2909.8289522)          			UserInput
17:19:46.61264 (2910.0409622)          			Marshaller
17:19:46.61264 (2910.0419632)          			ProfilingSection
17:19:46.61264 (2910.0419632)          			BindToWorkspace
17:19:46.61264 (2910.2798826)          			RenderRequestJob
17:19:46.61264 (2910.2798826)          			RenderJob
17:19:46.61264 (2910.2798826)          			WrapMouseJob
17:19:46.61264 (2910.2798826)          			ConfigureStats
17:19:46.61264 (2910.2798826)          		RobloxView::RobloxView - end
17:20:04.13728 (2927.8647603)          		RobloxView::RobloxView - start
17:20:04.13728 (2927.8647603)          			UserInput
17:20:04.13728 (2928.0048057)          			Marshaller
17:20:04.13728 (2928.0058060)          			ProfilingSection
17:20:04.13728 (2928.0258117)          			BindToWorkspace
17:20:04.13728 (2928.2476315)          			RenderRequestJob
17:20:04.13728 (2928.2667771)          			RenderJob
17:20:04.13728 (2928.2667771)          			WrapMouseJob
17:20:04.13728 (2928.2667771)          			ConfigureStats
17:20:04.13728 (2928.2677848)          		RobloxView::RobloxView - end
17:20:18.27728 (2941.9736915)          Auto-Saving...
17:20:23.32728 (2946.9471347)          		RobloxView::RobloxView - start
17:20:23.32728 (2946.9471347)          			UserInput
17:20:26.35728 (2950.2912791)          			Marshaller
17:20:26.35728 (2950.2912791)          			ProfilingSection
17:20:26.35728 (2950.2912791)          			BindToWorkspace
17:20:26.35728 (2950.7643284)          			RenderRequestJob
17:20:26.35728 (2950.7653285)          			RenderJob
17:20:26.35728 (2950.7653285)          			WrapMouseJob
17:20:26.35728 (2950.7653285)          			ConfigureStats
17:20:26.35728 (2950.7653285)          		RobloxView::RobloxView - end
17:20:47.56728 (2971.3312715)          		RobloxView::RobloxView - start
17:20:47.56728 (2971.3312715)          			UserInput
17:20:48.57728 (2972.3233176)          			Marshaller
17:20:48.57728 (2972.3233176)          			ProfilingSection
17:20:48.57728 (2972.3233176)          			BindToWorkspace
17:20:49.58728 (2973.0218926)          			RenderRequestJob
17:20:49.58728 (2973.0228926)          			RenderJob
17:20:49.58728 (2973.0228926)          			WrapMouseJob
17:20:49.58728 (2973.0228926)          			ConfigureStats
17:20:49.58728 (2973.0228926)          		RobloxView::RobloxView - end
17:21:31.35192 (3015.1615680)          Auto-Saving...
17:21:32.36192 (3016.1126282)          		RobloxView::RobloxView - start
17:21:32.36192 (3016.1136282)          			UserInput
17:21:32.36192 (3016.3486534)          			Marshaller
17:21:32.36192 (3016.3486534)          			ProfilingSection
17:21:32.36192 (3016.3486534)          			BindToWorkspace
17:21:32.36192 (3016.5445617)          			RenderRequestJob
17:21:32.36192 (3016.5445617)          			RenderJob
17:21:32.36192 (3016.5445617)          			WrapMouseJob
17:21:32.36192 (3016.5445617)          			ConfigureStats
17:21:32.36192 (3016.5445617)          		RobloxView::RobloxView - end
17:22:51.49656 (3095.6553712)          		RobloxView::RobloxView - start
17:22:51.49656 (3095.6563712)          			UserInput
17:22:52.50656 (3095.8318804)          			Marshaller
17:22:52.50656 (3095.8318804)          			ProfilingSection
17:22:52.50656 (3095.8328758)          			BindToWorkspace
17:22:52.50656 (3095.9918654)          			RenderRequestJob
17:22:52.50656 (3095.9918654)          			RenderJob
17:22:52.50656 (3095.9918654)          			WrapMouseJob
17:22:52.50656 (3095.9918654)          			ConfigureStats
17:22:52.50656 (3095.9918654)          		RobloxView::RobloxView - end
17:22:54.52656 (3098.4400596)          Auto-Saving...
17:22:55.53656 (3099.3230726)          		RobloxView::RobloxView - start
17:22:55.53656 (3099.3230726)          			UserInput
17:22:55.53656 (3099.7031549)          			Marshaller
17:22:55.53656 (3099.7031549)          			ProfilingSection
17:22:55.53656 (3099.7031549)          			BindToWorkspace
17:22:56.54656 (3099.9646681)          			RenderRequestJob
17:22:56.54656 (3099.9646681)          			RenderJob
17:22:56.54656 (3099.9646681)          			WrapMouseJob
17:22:56.54656 (3099.9646681)          			ConfigureStats
17:22:56.54656 (3099.9646681)          		RobloxView::RobloxView - end
17:24:01.54120 (3164.9320171)          		RobloxView::RobloxView - start
17:24:01.54120 (3164.9320171)          			UserInput
17:24:01.54120 (3165.4360760)          			Marshaller
17:24:01.54120 (3165.4360760)          			ProfilingSection
17:24:01.54120 (3165.4360760)          			BindToWorkspace
17:24:01.54120 (3165.6070496)          			RenderRequestJob
17:24:01.54120 (3165.6070496)          			RenderJob
17:24:01.54120 (3165.6070496)          			WrapMouseJob
17:24:01.54120 (3165.6070496)          			ConfigureStats
17:24:01.54120 (3165.6070496)          		RobloxView::RobloxView - end
17:27:30.976 (3374.1194588)          Auto-Saving...
17:32:30.38832 (3674.2114711)          Auto-Saving...
17:37:30.11152 (3974.2171628)          Auto-Saving...
17:42:30.49008 (4274.2671324)          Auto-Saving...
17:43:24.37472 (4328.2321881)          Auto-Saving...
17:43:25.38472 (4329.2402587)          		RobloxView::RobloxView - start
17:43:25.38472 (4329.2412588)          			UserInput
17:43:25.38472 (4329.4338805)          			Marshaller
17:43:25.38472 (4329.4338805)          			ProfilingSection
17:43:25.38472 (4329.4338805)          			BindToWorkspace
17:43:25.38472 (4329.6042819)          			RenderRequestJob
17:43:25.38472 (4329.6042819)          			RenderJob
17:43:25.38472 (4329.6042819)          			WrapMouseJob
17:43:25.38472 (4329.6052821)          			ConfigureStats
17:43:25.38472 (4329.6052821)          		RobloxView::RobloxView - end
17:43:40.53472 (4343.7451348)          		RobloxView::RobloxView - start
17:43:40.53472 (4343.7451348)          			UserInput
17:43:40.53472 (4343.9015268)          			Marshaller
17:43:40.53472 (4343.9015268)          			ProfilingSection
17:43:40.53472 (4343.9015268)          			BindToWorkspace
17:43:40.53472 (4344.0681352)          			RenderRequestJob
17:43:40.53472 (4344.0681352)          			RenderJob
17:43:40.53472 (4344.0681352)          			WrapMouseJob
17:43:40.53472 (4344.0681352)          			ConfigureStats
17:43:40.53472 (4344.0801122)          		RobloxView::RobloxView - end
17:47:30.21328 (4574.3225935)          Auto-Saving...
17:48:15.792 (4618.7666551)          Auto-Saving...
17:48:17.2792 (4620.7038160)          		RobloxView::RobloxView - start
17:48:17.2792 (4620.7038160)          			UserInput
17:48:17.2792 (4620.9797072)          			Marshaller
17:48:17.2792 (4620.9807073)          			ProfilingSection
17:48:17.2792 (4620.9807073)          			BindToWorkspace
17:48:17.2792 (4621.1827275)          			RenderRequestJob
17:48:17.2792 (4621.1827275)          			RenderJob
17:48:17.2792 (4621.1827275)          			WrapMouseJob
17:48:17.2792 (4621.1827275)          			ConfigureStats
17:48:17.2792 (4621.1837277)          		RobloxView::RobloxView - end
17:48:35.20792 (4639.1548037)          		RobloxView::RobloxView - start
17:48:35.20792 (4639.1548037)          			UserInput
17:48:35.20792 (4639.3338606)          			Marshaller
17:48:35.20792 (4639.3338606)          			ProfilingSection
17:48:35.20792 (4639.3348556)          			BindToWorkspace
17:48:35.20792 (4639.5004411)          			RenderRequestJob
17:48:35.20792 (4639.5004411)          			RenderJob
17:48:35.20792 (4639.5004411)          			WrapMouseJob
17:48:35.20792 (4639.5004411)          			ConfigureStats
17:48:35.20792 (4639.5014416)          		RobloxView::RobloxView - end
17:49:12.57792 (4676.5686867)          Auto-Saving...
17:49:14.59792 (4677.7426271)          		RobloxView::RobloxView - start
17:49:14.59792 (4677.7436272)          			UserInput
17:49:14.59792 (4678.0127501)          			Marshaller
17:49:14.59792 (4678.0137452)          			ProfilingSection
17:49:14.59792 (4678.0137452)          			BindToWorkspace
17:49:14.59792 (4678.1871576)          			RenderRequestJob
17:49:14.59792 (4678.1871576)          			RenderJob
17:49:14.59792 (4678.1871576)          			WrapMouseJob
17:49:14.59792 (4678.1871576)          			ConfigureStats
17:49:14.59792 (4678.1881577)          		RobloxView::RobloxView - end
17:49:21.1256 (4684.7421111)          		RobloxView::RobloxView - start
17:49:21.1256 (4684.7421111)          			UserInput
17:49:21.1256 (4684.8868718)          			Marshaller
17:49:21.1256 (4684.8868718)          			ProfilingSection
17:49:21.1256 (4684.8868718)          			BindToWorkspace
17:49:21.1256 (4685.0524278)          			RenderRequestJob
17:49:21.1256 (4685.0524278)          			RenderJob
