27.05.2015 16:32:52.65312 (96.4541786)Log "Roblox TaskScheduler Thread 2"
16:32:52.65312 (96.4541786)          DataModel Loading http://www.roblox.com/asset/?id=235264088
20:02:31.61400 (12675.0945703)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:02:31.61400 (12675.0945703)          Stack End
20:02:31.61400 (12675.1595730)          Boop recieved from Right Arm
20:02:32.62400 (12675.8196226)          Boop recieved from Right Arm
20:02:37.1864 (12680.6715046)          Bang recieved from Head
20:02:37.1864 (12680.7096161)          Bang recieved from Head
20:02:37.1864 (12680.8787382)          Bang recieved from Left Arm
20:02:37.1864 (12681.1012435)          Bang recieved from Head
20:02:37.1864 (12681.1012435) Error:   Workspace.Radioactive Zombie.Left Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:37.1864 (12681.1022435)          Stack Begin
20:02:37.1864 (12681.1022435)          Script 'Workspace.Radioactive Zombie.Left Arm.My First Kill Script', Line 8
20:02:37.1864 (12681.1022435)          Stack End
20:02:38.2864 (12681.4072421)          Bang recieved from Head
20:02:38.2864 (12681.4072421) Error:   Workspace.Radioactive Zombie.Left Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:38.2864 (12681.4082413)          Stack Begin
20:02:38.2864 (12681.4082413)          Script 'Workspace.Radioactive Zombie.Left Arm.My First Kill Script', Line 8
20:02:38.2864 (12681.4082413)          Stack End
20:02:38.2864 (12682.1502850) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:02:38.2864 (12682.1512850)          Stack Begin
20:02:38.2864 (12682.1512850)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:02:38.2864 (12682.1512850)          Stack End
20:02:39.3864 (12683.2063434)          Bang recieved from Head
20:02:39.3864 (12683.2063434) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:39.3864 (12683.2063434)          Stack Begin
20:02:39.3864 (12683.2063434)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:39.3864 (12683.2063434)          Stack End
20:02:40.4864 (12683.6813352)          Bang recieved from Head
20:02:40.4864 (12683.6813352) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:40.4864 (12683.6823353)          Stack Begin
20:02:40.4864 (12683.6823353)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:40.4864 (12683.6823353)          Stack End
20:02:40.4864 (12683.8023328)          Bang recieved from Head
20:02:40.4864 (12683.8023328) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:40.4864 (12683.8023328)          Stack Begin
20:02:40.4864 (12683.8023328)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:40.4864 (12683.8023328)          Stack End
20:02:41.5864 (12684.4973519)          Bang recieved from Head
20:02:41.5864 (12684.4973519) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:41.5864 (12684.4973519)          Stack Begin
20:02:41.5864 (12684.4973519)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:41.5864 (12684.4973519)          Stack End
20:02:42.6864 (12685.6893888)          Bang recieved from Right Arm
20:02:42.6864 (12685.6893888) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:42.6864 (12685.6893888)          Stack Begin
20:02:42.6864 (12685.6893888)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:42.6864 (12685.6893888)          Stack End
20:02:42.6864 (12685.7973889)          Bang recieved from Head
20:02:42.6864 (12685.7983889) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:42.6864 (12685.7983889)          Stack Begin
20:02:42.6864 (12685.7983889)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:42.6864 (12685.7983889)          Stack End
20:02:42.6864 (12685.8303892)          Bang recieved from Head
20:02:42.6864 (12685.8343893) Error:   Workspace.Radioactive Zombie.Right Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:42.6864 (12685.8343893)          Stack Begin
20:02:42.6864 (12685.8343893)          Script 'Workspace.Radioactive Zombie.Right Arm.My First Kill Script', Line 8
20:02:42.6864 (12685.8353893)          Stack End
20:04:46.65328 (12809.7193292)          Boop recieved from Left Arm
20:04:46.65328 (12809.9802268)          Boop recieved from Right Arm
20:04:46.65328 (12809.9882228)          Boop recieved from Right Arm
20:04:56.9792 (12819.7394301)          Bang recieved from Right Arm
20:04:57.10792 (12820.3236996)          Bang recieved from Head
20:04:57.10792 (12820.4067079)          Bang recieved from Head
20:04:57.10792 (12820.4077080) Error:   Workspace.Radioactive Zombie.Left Arm.My First Kill Script:9: attempt to index field 'Parent' (a nil value)
20:04:57.10792 (12820.4077080)          Stack Begin
20:04:57.10792 (12820.4077080)          Script 'Workspace.Radioactive Zombie.Left Arm.My First Kill Script', Line 9
20:04:57.10792 (12820.4077080)          Stack End
20:04:57.10792 (12820.4617139)          Bang recieved from Head
20:04:57.10792 (12820.4627140) Error:   Workspace.Radioactive Zombie.Left Arm.My First Kill Script:9: attempt to index field 'Parent' (a nil value)
20:04:57.10792 (12820.4627140)          Stack Begin
20:04:57.10792 (12820.4627140)          Script 'Workspace.Radioactive Zombie.Left Arm.My First Kill Script', Line 9
20:04:57.10792 (12820.4627140)          Stack End
20:04:57.10792 (12820.6127110)          Bang recieved from Head
20:04:57.10792 (12820.6127110) Error:   Workspace.Radioactive Zombie.Left Arm.My First Kill Script:9: attempt to index field 'Parent' (a nil value)
20:04:57.10792 (12820.6127110)          Stack Begin
20:04:57.10792 (12820.6127110)          Script 'Workspace.Radioactive Zombie.Left Arm.My First Kill Script', Line 9
20:04:57.10792 (12820.6127110)          Stack End
20:04:58.11792 (12821.3912680) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:04:58.11792 (12821.3912680)          Stack Begin
20:04:58.11792 (12821.3912680)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:04:58.11792 (12821.3922680)          Stack End
20:04:58.11792 (12821.4162681) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:04:58.11792 (12821.4162681)          Stack Begin
20:04:58.11792 (12821.4162681)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:04:58.11792 (12821.4162681)          Stack End
20:04:58.11792 (12821.4332682) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:04:58.11792 (12821.4352682)          Stack Begin
20:04:58.11792 (12821.4362682)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:04:58.11792 (12821.4362682)          Stack End
20:05:19.32792 (12842.7521717)          Boop recieved from Left Arm
20:05:26.39792 (12849.6256108)          Bang recieved from Left Arm
20:05:26.39792 (12849.7593351)          Bang recieved from Torso
20:05:27.40792 (12850.7288718) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:05:27.40792 (12850.7288718)          Stack Begin
20:05:27.40792 (12850.7288718)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:05:27.40792 (12850.7288718)          Stack End
20:05:29.42792 (12852.2584115)          Bang recieved from FakeHead
