27.05.2015 08:03:37.50088 (3.3322117)Log "RobloxStudio"
08:30:58.52688 (1643.7400085)          			UserInput
08:30:58.52688 (1643.8270120)          			Marshaller
08:30:58.52688 (1643.8270120)          			ProfilingSection
08:30:58.52688 (1643.8280121)          			BindToWorkspace
08:30:58.52688 (1643.9657548)          			RenderRequestJob
08:30:58.52688 (1643.9657548)          			RenderJob
08:30:58.52688 (1643.9657548)          			WrapMouseJob
08:30:58.52688 (1643.9657548)          			ConfigureStats
08:30:58.52688 (1643.9667484)          		RobloxView::RobloxView - end
08:33:46.24080 (1812.1777893)          Auto-Saving...
08:38:46.61936 (2112.2231743)          Auto-Saving...
08:43:46.34256 (2412.5000945)          Auto-Saving...
08:48:46.6576 (2712.3367876)          Auto-Saving...
08:53:46.44432 (3012.3978800)          Auto-Saving...
08:58:46.16752 (3312.4450514)          Auto-Saving...
09:03:46.54608 (3612.4937604)          Auto-Saving...
09:08:46.26928 (3912.5488440)          Auto-Saving...
09:11:24.53856 (4070.1173414)          Auto-Saving...
09:12:57.15784 (4162.8418193)          RobloxMainWindow::handleFileOpen http://www.roblox.com//Game/edit.ashx?PlaceID=235264088&upload=235264088&testmode=false
09:12:57.15784 (4162.8418193)          RobloxIDEDoc::open - start
09:12:57.15784 (4162.9878569)          	Locking DataModel
09:12:57.15784 (4163.1288268)          	Initializing Ogre
09:12:57.15784 (4163.1288268)          	Initializing View
09:12:57.15784 (4163.1458254)          	Initializing Explorer
09:12:57.15784 (4163.3098769)          	Loading File : 
09:12:57.15784 (4163.3589954)          	Loading Plugins
09:12:58.16784 (4163.8088263)          	Open Success
09:12:58.16784 (4163.8278608)          RobloxIDEDoc::open - end
09:13:01.19784 (4166.7820840)          		RobloxView::RobloxView - start
09:13:01.19784 (4166.7820840)          			UserInput
09:13:04.22784 (4170.3559418)          			Marshaller
09:13:04.22784 (4170.3559418)          			ProfilingSection
09:13:04.22784 (4170.3559418)          			BindToWorkspace
09:13:05.23784 (4170.5469494)          			RenderRequestJob
09:13:05.23784 (4170.5469494)          			RenderJob
09:13:05.23784 (4170.5469494)          			WrapMouseJob
09:13:05.23784 (4170.5469494)          			ConfigureStats
09:13:05.23784 (4170.5479491)          		RobloxView::RobloxView - end
09:17:47.43640 (4452.8562061)          Auto-Saving...
09:21:49.23496 (4695.4911507)          > Game.Workspace.Part.SelectionBox.Adornee = Game.Workspace.Part
09:21:49.23496 (4695.4951224) Error:   SelectionBox is not a valid member of Part
