27.05.2015 10:30:04.55264 (0.8304834)Log "RobloxStudio"
10:48:56.7616 (1133.5139218)          			UserInput
10:48:57.8616 (1133.7159406)          			Marshaller
10:48:57.8616 (1133.7169407)          			ProfilingSection
10:48:57.8616 (1133.7169407)          			BindToWorkspace
10:48:57.8616 (1133.8769462)          			RenderRequestJob
10:48:57.8616 (1133.8779460)          			RenderJob
10:48:57.8616 (1133.8779460)          			WrapMouseJob
10:48:57.8616 (1133.8779460)          			ConfigureStats
10:48:57.8616 (1133.8779460)          		RobloxView::RobloxView - end
10:49:07.18616 (1143.8422477)          		RobloxView::RobloxView - start
10:49:07.18616 (1143.8422477)          			UserInput
10:49:07.18616 (1144.0862599)          			Marshaller
10:49:07.18616 (1144.0862599)          			ProfilingSection
10:49:07.18616 (1144.0872600)          			BindToWorkspace
10:49:07.18616 (1144.2522408)          			RenderRequestJob
10:49:07.18616 (1144.2522408)          			RenderJob
10:49:07.18616 (1144.2522408)          			WrapMouseJob
10:49:07.18616 (1144.2522408)          			ConfigureStats
10:49:07.18616 (1144.2532411)          		RobloxView::RobloxView - end
10:49:14.25616 (1151.5510723)          Auto-Saving...
10:52:59.54008 (1376.4247498)          Auto-Saving...
10:53:01.56008 (1378.3094035)          		RobloxView::RobloxView - start
10:53:01.56008 (1378.3094035)          			UserInput
10:53:01.56008 (1378.5964295)          			Marshaller
10:53:01.56008 (1378.5964295)          			ProfilingSection
10:53:01.56008 (1378.5964295)          			BindToWorkspace
10:53:02.57008 (1378.7745337)          			RenderRequestJob
10:53:02.57008 (1378.7745337)          			RenderJob
10:53:02.57008 (1378.7745337)          			WrapMouseJob
10:53:02.57008 (1378.7755337)          			ConfigureStats
10:53:02.57008 (1378.7755337)          		RobloxView::RobloxView - end
10:53:50.39472 (1427.3043719)          		RobloxView::RobloxView - start
10:53:50.39472 (1427.3043719)          			UserInput
10:53:50.39472 (1427.4213825)          			Marshaller
10:53:50.39472 (1427.4213825)          			ProfilingSection
10:53:50.39472 (1427.4223825)          			BindToWorkspace
10:53:50.39472 (1427.5941535)          			RenderRequestJob
10:53:50.39472 (1427.5941535)          			RenderJob
10:53:50.39472 (1427.5941535)          			WrapMouseJob
10:53:50.39472 (1427.5941535)          			ConfigureStats
10:53:50.39472 (1427.5951488)          		RobloxView::RobloxView - end
10:54:14.63472 (1451.5914681)          Auto-Saving...
10:54:41.24936 (1477.8540415)          Auto-Saving...
10:54:41.24936 (1478.6641914)          		RobloxView::RobloxView - start
10:54:41.24936 (1478.6641914)          			UserInput
10:54:42.25936 (1478.8301953)          			Marshaller
10:54:42.25936 (1478.8301953)          			ProfilingSection
10:54:42.25936 (1478.8301953)          			BindToWorkspace
10:54:42.25936 (1479.1132478)          			RenderRequestJob
10:54:42.25936 (1479.1132478)          			RenderJob
10:54:42.25936 (1479.1132478)          			WrapMouseJob
10:54:42.25936 (1479.1132478)          			ConfigureStats
10:54:42.25936 (1479.1132478)          		RobloxView::RobloxView - end
10:55:17.60936 (1514.1825794)          		RobloxView::RobloxView - start
10:55:17.60936 (1514.1825794)          			UserInput
10:55:17.60936 (1514.3405959)          			Marshaller
10:55:17.60936 (1514.3405959)          			ProfilingSection
10:55:17.60936 (1514.3405959)          			BindToWorkspace
10:55:17.60936 (1514.5666157)          			RenderRequestJob
10:55:17.60936 (1514.5666157)          			RenderJob
10:55:17.60936 (1514.5666157)          			WrapMouseJob
10:55:17.60936 (1514.5666157)          			ConfigureStats
10:55:17.60936 (1514.5666157)          		RobloxView::RobloxView - end
10:56:05.43400 (1562.5317438)          Auto-Saving...
10:56:07.45400 (1563.7853498)          		RobloxView::RobloxView - start
10:56:07.45400 (1563.7853498)          			UserInput
10:56:07.45400 (1564.0753599)          			Marshaller
10:56:07.45400 (1564.0753599)          			ProfilingSection
10:56:07.45400 (1564.0753599)          			BindToWorkspace
10:56:07.45400 (1564.2373883)          			RenderRequestJob
10:56:07.45400 (1564.2373883)          			RenderJob
10:56:07.45400 (1564.2373883)          			WrapMouseJob
10:56:07.45400 (1564.2383884)          			ConfigureStats
10:56:07.45400 (1564.2383884)          		RobloxView::RobloxView - end
10:56:26.64400 (1582.6998023)          		RobloxView::RobloxView - start
10:56:26.64400 (1582.6998023)          			UserInput
10:56:26.64400 (1582.8797803)          			Marshaller
10:56:26.64400 (1582.8797803)          			ProfilingSection
10:56:26.64400 (1582.9217855)          			BindToWorkspace
10:56:26.64400 (1583.1898269)          			RenderRequestJob
10:56:26.64400 (1583.1898269)          			RenderJob
10:56:26.64400 (1583.1898269)          			WrapMouseJob
10:56:26.64400 (1583.1908271)          			ConfigureStats
10:56:26.64400 (1583.1908271)          		RobloxView::RobloxView - end
10:59:14.35792 (1751.6425021)          Auto-Saving...
10:59:23.44792 (1760.3311177)          Auto-Saving...
10:59:25.46792 (1761.7332364)          		RobloxView::RobloxView - start
10:59:25.46792 (1761.7332364)          			UserInput
10:59:25.46792 (1762.0842487)          			Marshaller
10:59:25.46792 (1762.0842487)          			ProfilingSection
10:59:25.46792 (1762.0912483)          			BindToWorkspace
10:59:25.46792 (1762.3262984)          			RenderRequestJob
10:59:25.46792 (1762.3262984)          			RenderJob
10:59:25.46792 (1762.3262984)          			WrapMouseJob
10:59:25.46792 (1762.3262984)          			ConfigureStats
10:59:25.46792 (1762.3272986)          		RobloxView::RobloxView - end
10:59:54.10256 (1791.4207631)          		RobloxView::RobloxView - start
10:59:54.10256 (1791.4207631)          			UserInput
10:59:54.10256 (1791.5717772)          			Marshaller
10:59:54.10256 (1791.5717772)          			ProfilingSection
10:59:54.10256 (1791.5717772)          			BindToWorkspace
10:59:55.11256 (1791.7477976)          			RenderRequestJob
10:59:55.11256 (1791.7487977)          			RenderJob
10:59:55.11256 (1791.7487977)          			WrapMouseJob
10:59:55.11256 (1791.7487977)          			ConfigureStats
10:59:55.11256 (1791.7487977)          		RobloxView::RobloxView - end
11:00:32.48256 (1829.3304711)          Auto-Saving...
11:00:33.49256 (1830.4250675)          		RobloxView::RobloxView - start
11:00:33.49256 (1830.4250675)          			UserInput
11:00:34.50256 (1830.7020595)          			Marshaller
11:00:34.50256 (1830.7020595)          			ProfilingSection
11:00:34.50256 (1830.7020595)          			BindToWorkspace
11:00:34.50256 (1830.8810785)          			RenderRequestJob
