26.05.2015 09:25:31.48888 (0.3933876)Log "Roblox"
09:25:41.58888 (9.6947091)          		Data.DataCost: 4
09:25:41.58888 (9.6947091)          		Scripting.EditorFont: Courier New
09:25:41.58888 (9.6947091)          		Scripting.EditorFontSize: 10
09:25:41.58888 (9.6947091)          		Scripting.EditorTabWidth: 3
09:25:41.58888 (9.6947091)          		Data.Name: Authoring
09:25:41.58888 (9.6947091)          		Data.RobloxLocked: false
09:25:41.58888 (9.6947091)          		Browsing.ShowDeprecatedObjects: false
09:25:41.58888 (9.6947091)          		Browsing.ShowDevObjects: false
09:25:41.58888 (9.6947091)          		Browsing.ShowPreliminaryObjects: true
09:25:41.58888 (9.6947091)          		Behavior.archivable: true
09:25:41.58888 (9.6947091)          		Data.className: Authoring
09:25:41.58888 (9.6947091)          	Task Scheduler
09:25:41.58888 (9.6947091)          		Behavior.Archivable: true
09:25:41.58888 (9.6947091)          		Configuration.AreArbitersThrottled: false
09:25:41.58888 (9.6947091)          		Configuration.BudgetEnforced: false
09:25:41.58888 (9.6947091)          		Data.ClassName: TaskScheduler
09:25:41.58888 (9.6947091)          		Configuration.Concurrency: Logical
09:25:41.58888 (9.6947091)          		Data.DataCost: 4
09:25:41.58888 (9.6947091)          		Data.Name: Task Scheduler
09:25:41.58888 (9.6947091)          		Diagnostics.NumRunningJobs: 0
09:25:41.58888 (9.6947091)          		Diagnostics.NumSleepingJobs: 0
09:25:41.58888 (9.6947091)          		Diagnostics.NumWaitingJobs: 0
09:25:41.58888 (9.6947091)          		Configuration.PriorityMethod: AccumulatedError
09:25:41.58888 (9.6947091)          		Data.RobloxLocked: false
09:25:41.58888 (9.6947091)          		Diagnostics.SchedulerDutyCycle: 0.00017299542726944097
09:25:41.58888 (9.6947091)          		Diagnostics.SchedulerRate: 91.59372172339296
09:25:41.58888 (9.6947091)          		Configuration.SleepAdjustMethod: AverageInterval
09:25:41.58888 (9.6947091)          		Diagnostics.ThreadAffinity: 1
09:25:41.58888 (9.6947091)          		Configuration.ThreadPoolConfig: Auto
09:25:41.58888 (9.6947091)          		Diagnostics.ThreadPoolSize: 2
09:25:41.58888 (9.6947091)          		Configuration.ThrottledJobSleepTime: 0.01
09:25:41.58888 (9.6947091)          		Behavior.archivable: true
09:25:41.58888 (9.6947091)          		Data.className: TaskScheduler
09:25:41.58888 (9.6947091)          	Rendering
09:25:41.58888 (9.6947091)          		Quality.AASamples: None
09:25:41.58888 (9.6947091)          		Quality.AluminumQuality: Automatic
09:25:41.58888 (9.7001849)          		General.AlwaysDrawConnectors: false
09:25:41.58888 (9.7001849)          		Quality.Antialiasing: Off
09:25:41.58888 (9.7001849)          		Behavior.Archivable: true
09:25:41.58888 (9.7001849)          		Debug.AutoFRMLevel: 1
09:25:41.58888 (9.7001849)          		Performance.BatchSize: 20
09:25:41.58888 (9.7011958)          		Quality.Bevels: Automatic
09:25:41.58888 (9.7011958)          		Data.ClassName: RenderSettings
09:25:41.58888 (9.7011958)          		Quality.CompoundMaterialQuality: Automatic
09:25:41.58888 (9.7011958)          		Quality.CorrodedMetalQuality: Automatic
09:25:41.58888 (9.7011958)          		Data.DataCost: 4
09:25:41.58888 (9.7011958)          		Debug.DebugCullBlockCount: -1
09:25:41.58888 (9.7011958)          		Debug.DebugDisableDebriService: false
09:25:41.58888 (9.7011958)          		Debug.DebugFRMCullHumanoids: false
09:25:41.58888 (9.7011958)          		Debug.DebugLogFRMLogVariables: false
09:25:41.58888 (9.7011958)          		Quality.DiamondPlateQuality: Automatic
09:25:41.58888 (9.7011958)          		Performance.EagerBulkExecution: false
09:25:41.58888 (9.7011958)          		Debug.EnableFRM: false
09:25:41.58888 (9.7011958)          		General.FrameRateManager: Automatic
09:25:41.58888 (9.7011958)          		Quality.GrassQuality: Automatic
09:25:41.58888 (9.7011958)          		Quality.IceQuality: Automatic
09:25:41.58888 (9.7011958)          		Debug.IsAggregationShown: false
09:25:41.58888 (9.7022067)          		Performance.IsSynchronizedWithPhysics: false
09:25:41.58888 (9.7022067)          		Data.Name: Rendering
09:25:41.58888 (9.7022067)          		Quality.PlasticQuality: Automatic
09:25:41.58888 (9.7022067)          		Performance.QualityLevel: Automatic
09:25:41.58888 (9.7022067)          		Screen.Resolution: Automatic
09:25:41.58888 (9.7022067)          		Data.RobloxLocked: false
09:25:41.58888 (9.7022067)          		Debug.Shadow: Automatic
09:25:41.58888 (9.7022067)          		Debug.ShowBoundingBoxes: false
09:25:41.58888 (9.7022067)          		Quality.SlateQuality: Automatic
09:25:41.58888 (9.7022067)          		Debug.TextureCompositingEnabled: true
09:25:41.58888 (9.7022067)          		Quality.TrussDetail: Automatic
09:25:41.58888 (9.7022067)          		Performance.UsesPaintMessage: true
09:25:41.58888 (9.7022067)          		Quality.WoodQuality: Automatic
09:25:41.58888 (9.7022067)          		Behavior.archivable: true
09:25:41.58888 (9.7022067)          		Data.className: RenderSettings
09:25:41.58888 (9.7022067)          		General.graphicsMode: Automatic
09:25:41.58888 (9.7032176)          		Quality.profileName: profiled5
09:25:41.58888 (9.7032176)          	Network
09:25:41.58888 (9.7032176)          		Behavior.Archivable: true
09:25:41.58888 (9.7032176)          		Diagnostics.ArePhysicsRejectionsReported: false
09:25:41.58888 (9.7032176)          		Data.ClassName: NetworkSettings
09:25:41.58888 (9.7032176)          		Data.DataCost: 4
09:25:41.58888 (9.7032176)          		Data.DataMtuAdjust: 0
09:25:41.58888 (9.7032176)          		Network.DataSendRate: 30
09:25:41.58888 (9.7032176)          		Physics.ExperimentalPhysicsEnabled: true
09:25:41.58888 (9.7032176)          		Diagnostics.IncommingReplicationLag: 0
09:25:41.58888 (9.7032176)          		Network.IsQueueErrorComputed: true
09:25:41.58888 (9.7032176)          		Network.IsThrottledByCongestionControl: false
09:25:41.58888 (9.7032176)          		Network.IsThrottledByOutgoingBandwidthLimit: false
09:25:41.58888 (9.7032176)          		Data.MaxDataModelSendBuffer: 1
09:25:41.58888 (9.7032176)          		Data.Name: Network
09:25:41.58888 (9.7032176)          		Network.NetworkOwnerRate: 10
09:25:41.58888 (9.7032176)          		Physics.PhysicsMtuAdjust: 0
09:25:41.58888 (9.7042285)          		Physics.PhysicsReceive: Interpolation
09:25:41.58888 (9.7042285)          		Physics.PhysicsSend: ErrorComputation
09:25:41.58888 (9.7042285)          		Network.PhysicsSendRate: 20
09:25:41.58888 (9.7042285)          		Network.PreferredClientPort: 0
09:25:41.58888 (9.7042285)          		Diagnostics.PrintEvents: false
09:25:41.58888 (9.7042285)          		Diagnostics.PrintInstances: false
09:25:41.58888 (9.7042285)          		Diagnostics.PrintPhysicsErrors: false
09:25:41.58888 (9.7042285)          		Diagnostics.PrintProperties: false
09:25:41.58888 (9.7042285)          		Diagnostics.PrintTouches: false
09:25:41.58888 (9.7042285)          		Network.ReceiveRate: 60
09:25:41.58888 (9.7042285)          		Network.ReportStatURL: 
09:25:41.58888 (9.7042285)          		Data.RobloxLocked: false
09:25:41.58888 (9.7042285)          		Network.TouchSendRate: 10
09:25:41.58888 (9.7042285)          		Network.UseInstancePacketCache: false
09:25:41.58888 (9.7052394)          		Network.UsePhysicsPacketCache: false
09:25:41.58888 (9.7052394)          		Network.WaitingForCharacterLogRate: 0
09:25:41.58888 (9.7052394)          		Behavior.archivable: true
09:25:41.58888 (9.7052394)          		Data.className: NetworkSettings
09:25:41.58888 (9.7052394)          End GlobalSettings -----------------------------------
09:25:41.58888 (9.7052394)          GameSettings ---------------------------------------
09:25:41.58888 (9.7052394)          	GameSettings
09:25:41.58888 (9.7052394)          		Data.AllTutorialsDisabled: false
09:25:41.58888 (9.7052394)          		Behavior.Archivable: true
09:25:41.58888 (9.7052394)          		Data.ClassName: UserGameSettings
09:25:41.58888 (9.7052394)          		Data.CompletedTutorials: 
09:25:41.58888 (9.7052394)          		Control.ControlMode: Classic
09:25:41.58888 (9.7052394)          		Data.DataCost: 4
09:25:41.58888 (9.7052394)          		Data.Name: GameSettings
09:25:41.58888 (9.7062503)          		Data.RobloxLocked: false
09:25:41.58888 (9.7062503)          		Appearance.SavedQualityLevel: Automatic
09:25:41.58888 (9.7062503)          		Video.VideoUploadPromptBehavior: Ask
09:25:41.58888 (9.7062503)          		Behavior.archivable: true
09:25:41.58888 (9.7062503)          		Data.className: UserGameSettings
09:25:41.58888 (9.7062503)          End GameSettings -----------------------------------
09:25:42.59888 (10.7034816)          Probing D3D for suitable Device...
09:25:42.59888 (10.7895569)          Attempting to find closest D3DDevice to: DeviceType: D3DDEVTYPE_HAL Resolution: 1366x768 AdapterFormat: D3DFMT_UNKNOWN BackBufferFormat: D3DFMT_UNKNOWN BehaviorFlags: 0 Windowed: 1 PresentParameters: 0x
00000556 00000300 00000000 00000000 00000000 00000000 00000000 00000000
00000001 00000000 00000000 00000000 00000000 00000000 
09:25:42.59888 (10.8489449)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_A8R8G8B8 Windowed: 0 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
09:25:42.59888 (10.8750260)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_A8R8G8B8 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
09:25:42.59888 (10.8750260)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_X8R8G8B8 Windowed: 0 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
09:25:42.59888 (10.8750260)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_X8R8G8B8 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
09:25:42.59888 (10.8750260)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_A2R10G10B10 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
09:25:42.59888 (10.8790384)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_R5G6B5 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
09:25:42.59888 (10.8810447)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_A1R5G5B5 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
09:25:42.59888 (10.8810447)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_X1R5G5B5 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
09:25:42.59888 (10.8820478)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_R5G6B5 BackBufferFormat: D3DFMT_A8R8G8B8 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
09:25:42.59888 (10.8820478)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_R5G6B5 BackBufferFormat: D3DFMT_X8R8G8B8 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
09:25:42.59888 (10.8930821)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_R5G6B5 BackBufferFormat: D3DFMT_A2R10G10B10 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
