26.05.2015 08:23:19.52440 (0.4350291)Log "Roblox"
08:23:31.64440 (12.7410799)          		Data.className: PhysicsSettings
08:23:31.64440 (12.7410799)          	FastLogSettings
08:23:31.64440 (12.7420800)          		Behavior.Archivable: true
08:23:31.64440 (12.7420800)          		Data.ClassName: FastLogSettings
08:23:31.64440 (12.7420800)          		Data.DataCost: 4
08:23:31.64440 (12.7420800)          		Data.Name: FastLogSettings
08:23:31.64440 (12.7420800)          		Data.RobloxLocked: false
08:23:31.64440 (12.7420800)          		Behavior.archivable: true
08:23:31.64440 (12.7420800)          		Data.className: FastLogSettings
08:23:31.64440 (12.7420800)          	Authoring
08:23:31.64440 (12.7420800)          		Behavior.Archivable: true
08:23:31.64440 (12.7420800)          		Data.ClassName: Authoring
08:23:31.64440 (12.7420800)          		Data.DataCost: 4
08:23:31.64440 (12.7420800)          		Scripting.EditorFont: Courier New
08:23:31.64440 (12.7420800)          		Scripting.EditorFontSize: 10
08:23:31.64440 (12.7420800)          		Scripting.EditorTabWidth: 3
08:23:31.64440 (12.7420800)          		Data.Name: Authoring
08:23:31.64440 (12.7430801)          		Data.RobloxLocked: false
08:23:31.64440 (12.7430801)          		Browsing.ShowDeprecatedObjects: false
08:23:31.64440 (12.7430801)          		Browsing.ShowDevObjects: false
08:23:31.64440 (12.7430801)          		Browsing.ShowPreliminaryObjects: true
08:23:31.64440 (12.7430801)          		Behavior.archivable: true
08:23:31.64440 (12.7430801)          		Data.className: Authoring
08:23:31.64440 (12.7430801)          	Task Scheduler
08:23:31.64440 (12.7430801)          		Behavior.Archivable: true
08:23:31.64440 (12.7430801)          		Configuration.AreArbitersThrottled: false
08:23:31.64440 (12.7430801)          		Configuration.BudgetEnforced: false
08:23:31.64440 (12.7430801)          		Data.ClassName: TaskScheduler
08:23:31.64440 (12.7430801)          		Configuration.Concurrency: Logical
08:23:31.64440 (12.7430801)          		Data.DataCost: 4
08:23:31.64440 (12.7430801)          		Data.Name: Task Scheduler
08:23:31.64440 (12.7430801)          		Diagnostics.NumRunningJobs: 0
08:23:31.64440 (12.7440802)          		Diagnostics.NumSleepingJobs: 0
08:23:31.64440 (12.7440802)          		Diagnostics.NumWaitingJobs: 0
08:23:31.64440 (12.7440802)          		Configuration.PriorityMethod: AccumulatedError
08:23:31.64440 (12.7440802)          		Data.RobloxLocked: false
08:23:31.64440 (12.7440802)          		Diagnostics.SchedulerDutyCycle: 0.0026261186080285934
08:23:31.64440 (12.7440802)          		Diagnostics.SchedulerRate: 1452.188257608163
08:23:31.64440 (12.7440802)          		Configuration.SleepAdjustMethod: AverageInterval
08:23:31.64440 (12.7440802)          		Diagnostics.ThreadAffinity: 1
08:23:31.64440 (12.7440802)          		Configuration.ThreadPoolConfig: Auto
08:23:31.64440 (12.7440802)          		Diagnostics.ThreadPoolSize: 2
